"blackout shade","multi-use screwdriver","shovel","vacuum sealer","tool set","humidifier","air mattress","clothing iron","hairdryer","wireless receiver","fireextinguisher","toolbox","bike pump","snow shovel","coffee maker","pressure cooker","thermos","growler","travel mug","food thermometer","usb battery","blender","knife sharpener","electric kettle","electric toothbrush","toaster","carbonator","lumbar pillow","backpack","rainjacket","casserole pan","portable speaker","bluetooth keyfinder","smartphone tripod","portable gas grill","smart bathroom scale","christmas tree stand","drone for beginners","external harddrive","portable ice maker","cat bed","dog coat","bluetooth headphones","white noise machine","Amazon echo","sheet set","space heater","handheld vacuum","bath towel","sunrise alarm clock"
56,32,73,31,61,65,63,71,61,63,40,43,27,34,40,42,19,16,17,32,55,24,36,39,20,28,59,25,70,59,65,76,61,63,43,43,36,60,56,33,58,0,22,42,77,22,45,70,21,61
42,41,0,0,72,0,31,49,14,18,0,0,6,0,9,50,10,0,19,39,19,39,43,8,10,13,19,0,60,69,20,0,0,25,25,22,20,19,40,0,0,19,18,21,100,68,0,19,41,12
24,33,25,60,41,62,60,41,60,63,70,28,59,64,23,59,55,41,47,44,69,42,29,65,65,38,39,36,68,51,34,41,60,60,65,40,63,38,64,33,66,38,84,43,37,36,35,33,58,35
100,33,93,77,30,91,100,69,70,91,26,91,78,73,9,69,27,75,65,14,94,90,11,98,5,65,74,40,41,74,16,71,69,7,36,3,89,96,73,12,87,72,32,72,85,99,93,85,94,25
13,16,0,0,16,0,35,1,0,0,5,28,0,2,0,38,22,3,8,41,49,13,31,21,8,3,0,0,11,18,21,39,5,7,29,0,0,9,92,0,12,0,20,0,17,10,6,71,9,0
19,19,19,10,0,51,0,0,0,9,41,20,12,19,38,51,14,9,9,9,25,0,0,0,31,8,0,0,35,75,9,35,21,0,32,9,4,100,100,12,11,24,100,0,78,0,23,11,9,0
25,4,30,20,15,15,25,10,0,20,10,10,5,10,10,60,5,10,10,10,15,10,25,30,10,10,5,10,15,60,5,20,5,10,20,10,5,10,40,10,10,15,25,10,20,25,10,25,8,5
67,57,39,48,44,49,29,44,63,60,17,20,36,27,55,60,61,72,30,62,59,37,54,76,44,65,33,58,68,51,47,42,19,32,57,62,43,58,46,62,35,50,61,40,68,71,62,74,42,35
9,9,31,51,51,21,40,40,20,20,18,51,9,20,9,51,30,19,21,19,11,40,30,31,21,41,8,10,31,51,31,22,9,31,51,51,10,48,30,19,21,10,83,29,10,10,72,20,10,31
29,69,17,20,69,82,52,82,51,51,35,86,67,68,70,26,72,86,71,81,78,19,18,34,51,51,71,33,77,27,22,82,82,82,67,92,89,67,25,64,30,30,51,77,51,40,84,28,30,85
89,19,30,81,22,28,84,9,33,31,26,27,7,24,91,61,31,51,60,8,65,80,51,88,51,29,72,30,10,42,71,74,35,60,41,69,21,52,81,81,1,81,63,62,57,67,40,73,51,24
25,10,10,10,19,61,41,10,0,9,30,30,9,0,30,62,9,10,20,5,31,20,21,10,20,20,40,9,42,30,23,10,0,6,50,19,0,51,61,7,0,31,10,5,0,19,12,19,29,20
80,69,75,46,68,74,63,68,45,77,45,62,62,77,59,45,67,44,78,80,64,49,54,69,83,81,39,58,64,70,80,86,72,42,64,53,76,77,75,76,66,81,35,78,43,65,72,42,69,71
15,13,9,43,37,28,18,20,18,33,20,37,10,18,44,36,16,17,8,11,11,66,18,32,29,23,25,31,20,53,18,36,31,13,32,28,8,67,75,64,5,9,45,15,46,62,15,31,10,11
23,10,28,42,36,23,67,15,35,22,44,17,38,44,20,24,19,17,33,37,16,30,31,32,18,30,22,39,17,23,27,29,35,15,31,26,14,57,60,25,21,26,44,44,64,25,50,33,59,17
3,2,10,15,20,15,65,20,6,10,20,10,5,10,50,30,10,4,10,20,35,25,5,20,10,10,20,15,10,15,3,20,10,70,85,25,2,79,75,10,1,2,60,10,70,3,10,70,5,10
8,6,9,6,6,14,4,8,3,8,51,7,16,20,29,0,10,8,8,9,20,1,8,5,14,9,0,21,10,10,9,10,7,8,11,10,5,0,12,1,0,0,0,14,0,20,9,20,11,10
51,84,10,60,73,51,53,81,26,5,70,52,35,73,22,76,51,8,25,4,19,14,5,12,70,52,23,51,15,38,0,51,8,30,31,71,77,0,51,11,1,15,73,0,99,51,5,73,51,51
20,10,5,20,25,10,15,0,9,0,51,7,0,7,20,50,5,0,0,6,5,10,0,9,7,6,5,3,10,35,3,2,10,5,20,5,0,5,50,15,6,9,40,0,10,20,15,6,3,4
27,1,3,11,17,10,23,9,6,5,34,18,4,5,25,20,4,5,4,3,5,10,4,20,4,11,3,7,14,15,5,8,1,5,7,5,8,12,15,19,4,5,19,13,13,8,14,6,2,6
40,5,10,10,10,65,50,5,5,5,50,5,0,20,0,80,15,14,10,10,40,9,10,6,25,15,5,10,10,19,20,25,15,5,30,30,30,20,20,5,29,10,40,40,20,30,35,15,10,75
40,5,19,51,51,19,51,20,11,19,20,10,2,20,30,51,10,20,5,9,9,19,20,30,10,19,32,11,20,21,6,20,20,100,60,29,9,71,72,31,30,12,41,10,51,19,9,41,9,9
0,35,25,0,70,0,0,0,0,0,0,50,5,5,15,75,25,0,10,20,25,5,5,30,60,0,0,0,20,70,25,25,3,0,5,0,5,0,100,0,0,0,25,0,5,20,0,30,30,0
40,15,30,60,40,60,45,30,25,40,30,40,15,30,40,45,20,15,10,20,30,25,35,40,20,30,25,15,65,35,20,40,25,30,40,30,10,50,60,50,30,25,60,40,60,25,30,40,10,20
41,11,19,51,64,80,40,25,14,30,20,57,37,25,41,25,41,28,40,40,60,37,26,37,41,20,32,22,44,68,25,40,27,40,76,53,37,60,69,58,29,29,33,33,40,34,34,31,29,20
41,14,10,45,19,40,24,27,13,20,30,25,22,1,29,35,8,21,14,14,20,20,8,25,7,20,17,11,14,70,31,9,10,8,40,51,19,15,72,15,5,4,31,31,25,30,25,30,12,28
55,40,29,72,68,67,28,38,45,58,41,45,69,35,64,81,33,44,22,31,37,65,42,39,72,33,77,35,44,62,47,36,64,38,61,60,33,65,41,70,24,40,46,66,67,62,60,75,26,85
15,2,10,10,15,14,20,8,5,10,20,15,0,6,10,12,5,0,6,20,15,10,0,5,10,15,0,10,7,20,10,10,5,0,18,0,5,15,40,0,10,20,30,15,18,50,12,20,10,0
46,15,45,69,56,63,85,29,24,56,50,48,28,34,58,38,45,25,27,42,38,33,26,33,53,36,42,35,38,40,28,42,37,34,59,35,17,54,57,54,38,26,41,44,61,43,41,32,35,34
20,10,15,25,20,29,61,20,41,23,51,30,15,14,30,40,18,20,8,9,29,40,9,21,20,24,51,19,40,57,5,25,20,10,70,25,9,29,71,21,12,19,51,20,61,19,40,40,8,19
15,25,4,20,21,28,75,18,16,70,92,16,9,35,76,84,16,8,10,21,71,19,13,18,71,28,23,13,31,67,24,31,40,14,70,68,5,85,77,35,23,20,76,28,87,25,72,81,20,30
33,20,31,42,40,40,81,19,30,31,29,55,31,21,75,81,11,9,13,22,18,20,25,17,25,57,12,21,29,83,21,29,17,61,64,60,9,80,90,41,7,20,71,31,60,20,43,66,9,28
27,5,15,44,23,55,48,16,12,19,25,27,15,20,35,65,8,8,11,5,12,14,12,20,6,35,30,9,29,55,13,11,4,13,65,11,4,15,80,9,7,32,13,3,40,38,20,17,5,12
64,60,70,69,69,60,64,86,69,66,62,63,79,66,69,83,41,65,60,61,59,62,64,68,38,66,38,40,65,58,63,43,70,63,65,63,62,60,68,74,68,35,67,73,39,78,65,62,63,67
20,0,0,20,0,20,15,5,15,11,5,14,0,0,10,25,0,0,0,0,10,20,0,6,0,5,0,10,6,0,20,6,20,0,30,10,0,0,0,15,0,0,30,40,20,15,10,15,5,3
78,77,80,79,88,100,100,79,72,83,87,93,83,77,98,80,82,84,100,90,100,76,88,85,81,98,82,79,84,99,87,99,77,86,88,85,92,82,100,69,82,94,77,80,79,83,75,81,81,100
